"pais","casos","casos_acumulados","fallecidos","fallecidos_acumulados","fecha","bbdd","region"
"Albania",581,57727,4,1174,2020-12-31,"OMS","Global"
"Albania",589,58316,7,1181,2021-01-01,"OMS","Global"
"Albania",407,58723,5,1186,2021-01-02,"OMS","Global"
"Albania",268,58991,4,1190,2021-01-03,"OMS","Global"
"Albania",447,59438,3,1193,2021-01-04,"OMS","Global"
"Albania",185,59623,6,1199,2021-01-05,"OMS","Global"
"Albania",660,60283,11,1210,2021-01-06,"OMS","Global"
"Albania",725,61008,7,1217,2021-01-07,"OMS","Global"
"Albania",697,61705,6,1223,2021-01-08,"OMS","Global"
"Albania",673,62378,7,1230,2021-01-09,"OMS","Global"
"Albania",655,63033,3,1233,2021-01-10,"OMS","Global"
"Albania",562,63595,8,1241,2021-01-11,"OMS","Global"
"Albania",376,63971,6,1247,2021-01-12,"OMS","Global"
"Albania",656,64627,5,1252,2021-01-13,"OMS","Global"
"Albania",707,65334,4,1256,2021-01-14,"OMS","Global"
"Albania",660,65994,5,1261,2021-01-15,"OMS","Global"
"Albania",641,66635,4,1265,2021-01-16,"OMS","Global"
"Albania",581,67216,5,1270,2021-01-17,"OMS","Global"
"Albania",474,67690,7,1277,2021-01-18,"OMS","Global"
"Albania",292,67982,4,1281,2021-01-19,"OMS","Global"
"Albania",586,68568,6,1287,2021-01-20,"OMS","Global"
"Albania",670,69238,4,1291,2021-01-21,"OMS","Global"
"Albania",678,69916,5,1296,2021-01-22,"OMS","Global"
"Albania",739,70655,7,1303,2021-01-23,"OMS","Global"
"Albania",786,71441,7,1310,2021-01-24,"OMS","Global"
"Albania",833,72274,5,1315,2021-01-25,"OMS","Global"
"Albania",538,72812,9,1324,2021-01-26,"OMS","Global"
"Albania",879,73691,8,1332,2021-01-27,"OMS","Global"
"Albania",876,74567,7,1339,2021-01-28,"OMS","Global"
"Albania",887,75454,11,1350,2021-01-29,"OMS","Global"
"Albania",896,76350,8,1358,2021-01-30,"OMS","Global"
"Albania",901,77251,11,1369,2021-01-31,"OMS","Global"
